"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"288","MM2",1992,170.495688416213,0.465835214251947,0.429519228120138,0.443706878121279,0.423745438696807,0.562885697678467,67.4434454744344,0.399110543875996,0.401338676159841,0.454805287537968,36.7181700365916,152,92,366
"289","MM2",1993,165.561584524319,0.45359338225841,0.440618570594119,0.496080062236784,0.452303298812589,0.646208292378938,74.9080893977544,0.37324717146699,0.371528239141919,0.408936020401434,34.3387397749631,151,92,365
"290","MM2",1994,170.359013744051,0.466737023956304,0.47938044718737,0.518618076443239,0.521429835341803,0.577501338695069,78.3113295429291,0.389558010313143,0.380076997512521,0.453494567954572,35.8393369488091,151,92,365
"291","MM2",1995,153.930453317517,0.42172726936306,0.438812452656715,0.460249927185658,0.480971334192252,0.502473519182936,69.4977390050344,0.353248929324878,0.339300009810729,0.420224868598559,32.4989014978887,151,92,365
"292","MM2",1996,174.136719722761,0.475783387220659,0.4640365966718,0.470265908427127,0.464432825847765,0.495914535468828,71.4804180809234,0.422285067063631,0.417509912852513,0.486540769656397,38.8502261698541,152,92,366
"293","MM2",1997,170.018660252111,0.46580454863592,0.452883582229781,0.495594466186895,0.462462729427605,0.598822482589908,74.8347643942212,0.410658567589989,0.410325765821931,0.457563621964007,37.780588218279,151,92,365
"294","MM2",1998,173.449153540717,0.475203160385526,0.474805284894848,0.485643808972801,0.483762811690709,0.505897296537915,73.332215154893,0.420379258628305,0.414192524963869,0.475598686673052,38.674891793804,151,92,365
"295","MM2",1999,175.302302012471,0.480280279486223,0.454633809350302,0.507195961648268,0.54273622410511,0.555984128577401,76.5865902088885,0.417808992630014,0.417116214968439,0.448116096584369,38.4384273219613,151,92,365
"296","MM2",2000,185.996095590999,0.508186053527319,0.488879319077944,0.512186937235404,0.509844402889954,0.573647735789468,77.8524144597814,0.454485789018734,0.450704956375268,0.475060312113368,41.8126925897235,152,92,366
"297","MM2",2001,194.611861611471,0.533183182497181,0.552311374344919,0.593054751651287,0.595177323308509,0.635667595622392,89.5512674993443,0.451827790477775,0.450523895156402,0.493272479109709,41.5681567239553,151,92,365
